PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
21454613,ATF3,TF,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Western blot;Immunofluorescent staining;Microscopic observation;RT-PCR;qRT-PCR;qPCR,KAI1 Gene Is Engaged in NDRG1 Gene-mediated Metastasis Suppression through the ATF3-NFKB Complex in Human Prostate Cancer,"the KAI1 promoter contained a consensus binding motif of ATF3, suggesting a possibility that NDRG1 suppresses metastasis through inhibition of ATF3 expression followed by activation of the KAI1 gene.",CD82;NDRG1,CL_0001064
21457403,SOX17,TF,Gastric cancer cell,Cancer cell,Stomach,low-throughput,Immunohistochemistry;qPCR;Microscopic observation;RT-PCR;Gene knock down,CD133 is a marker of gland-forming cells in gastric tumors and Sox17 is involved in its regulation,"SOX17 might be a key transcription factor controlling CD133 expression, and that it might also play a role in the control of gastric tumor progression.",PROM1,
21628563,NANOG,TF,glioblastoma cell,Cancer cell,Brain,low-throughput,Weston blot;Immunofluorescent staining;Flow Cytometry;qRT-PCR,c-Met signaling induces a reprogramming network and supports the glioblastoma stem-like phenotype,Expression of the reprogramming transcription factor NANOG by glioblastoma cells is shown to mediate the ability of MET to induce the stem cell characteristics of neurosphere formation and neurosphere cell self-renewal ,MET,
21835542,SOX2,TF,Stem cell,Cancer cell,Bone,low-throughput,RT-PCR;Western blot;Microscopic observation;Immunohistochemistry,Salinomycin inhibits osteosarcoma by targeting its tumor stem cells,"Our results indicated that sarcosphere selection, chemotherapy selection and stem cell marker OCT4 or SOX2 over-expression are all effective in the enrichment of TSCs from osteosarcoma cell lines.",POU5F1,CL_0000034
21841405,POU2F2,TF,B cell,Cancer cell,Lymph,low-throughput,Microscopic observation,Epstein-Barr Virus-positive Diffuse Large B-cell Lymphomas of the Elderly,"Strong, homogeneous expression of B-cell markers, including transcription factors OCT2 and BOB.1, and lack of CD15 support a diagnosis of EBV+ DLBCL.",PDLIM7;FUT4,CL_0000236
21864376,HIF1A,TF,Breast cancer cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-qPCR,Tribbles homolog 3 denotes a poor prognosis in breast cancer and is involved in hypoxia response,"In breast cell lines TRIB3 expression was induced by hypoxia, nutrient starvation, and endoplasmic reticulum stress in an hypoxia inducible factor 1 (HIF-1) independent manner.",TRIB3,
21864376,ATF4,TF,Breast cancer cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-qPCR,Tribbles homolog 3 denotes a poor prognosis in breast cancer and is involved in hypoxia response,The induction of TRIB3 by hypoxia was shown to be regulated via the PERK/ATF4/CHOP pathway of the unfolded protein response and knockdown of TRIB3 resulted in a dose-dependent increase in hypoxia sensitivity.,TRIB3,
21864376,DDIT3,TF,Breast cancer cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-qPCR,Tribbles homolog 3 denotes a poor prognosis in breast cancer and is involved in hypoxia response,The induction of TRIB3 by hypoxia was shown to be regulated via the PERK/ATF4/CHOP pathway of the unfolded protein response and knockdown of TRIB3 resulted in a dose-dependent increase in hypoxia sensitivity.,TRIB3,
21871880,HNF4A,TF,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Weston blot;qRT-PCR;RT-PCR,Construction and characterization of hepatocyte nuclear factor HNF4alpha1 over-expressing cell line derived from human hepatoma HepG2 cells,"Overall, the stable over-expression of HNF4A in HepG2 cells restores some of the hepatospecific functions, but it has a minor effect on the expression of xenobiotic-metabolizing enzymes and their regulators.",AHR;NR1I2;CYP3A4,CL_0001064
21873975,PEBP1,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,qRT–PCR;Immunofluorescent staining;Weston blot;ChIP assay;Gene knock down;Immunoblot;Quantitative ChIP;Survival analysis,Signalling pathway for RKIP and Let-7 regulates and predicts metastatic breast cancer,PEBP1 inhibits breast tumour metastasis in part via let-7.,SPP1;CXCR4;MMP1;HMGA2;BACH1,CL_0000034
21874011,MITF,TF,Kidney carcinoma cell,Cancer cell,Kidney,low-throughput,Immunohistochemical Staining;Microscopic observation,Cathepsin K expression in the spectrum of perivascular epithelioid cell (PEC) lesions of the kidney,"Recently, overexpression of MITF has been related to the expression of the papain-like cysteine protease cathepsin K in osteoclasts where it has inhibited MTOR.",CTSK;MTOR,CL_0001064
21882221,FOXA1,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Immunoblot;qRT-PCR;siRNA;MTS assay;Immunofluorescent staining;Weston blot;Gene knock down,Forkhead Box A1 (FOXA1) is a Key Mediator of Insulin-Like Growth Factor I (IGF-I) Activity,FOXA1 is able to control IGF-I to regulate gene expression.,IGF1,CL_0000034
21911445,EIF2AK3,TF,Basal cell,Cancer cell,Skin,low-throughput + high-throughput,Immunofluorescent staining;Weston blot;RT-PCR;Sequencing technique,Unfolded Protein Response Signaling and MAP Kinase Pathways Underlie Pathogenesis of Arsenic-Induced Cutaneous Inflammation,"EIF2A was induced by the hyperphosphorylation of PERK in a phosphorylation-dependent manner enhanced translation of ATF4, in addition to augmenting proteolytic activation of ATF6 in arsenic-treated skin.",EIF2A,CL_0000646
21911445,ATF4,TF,Basal cell,Cancer cell,Skin,low-throughput + high-throughput,Immunofluorescent staining;Weston blot;RT-PCR;Sequencing technique,Unfolded Protein Response Signaling and MAP Kinase Pathways Underlie Pathogenesis of Arsenic-Induced Cutaneous Inflammation,Enhanced ATF4 regulated downstream chaperones HSPA5 and HSP90B1.,HSPA5;HSP90B1,CL_0000646
21911445,XBP1,TF,Basal cell,Cancer cell,Skin,low-throughput + high-throughput,Immunofluorescent staining;Weston blot;RT-PCR;Sequencing technique,Unfolded Protein Response Signaling and MAP Kinase Pathways Underlie Pathogenesis of Arsenic-Induced Cutaneous Inflammation,XBP-1 participates in the expression of HSPA5 and HSP90B1,HSPA5;HSP90B1,CL_0000646
21911445,ATF6,TF,Basal cell,Cancer cell,Skin,low-throughput + high-throughput,Immunofluorescent staining;Weston blot;RT-PCR;Sequencing technique,Unfolded Protein Response Signaling and MAP Kinase Pathways Underlie Pathogenesis of Arsenic-Induced Cutaneous Inflammation,ATF6 participates in the expression of HSPA5 and HSP90B1,HSPA5;HSP90B1,CL_0000646
21927024,SOX2,TF,Osteosarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT–PCR;qPCR;Western blot; Immunohistochemistry;Gene knock down;Bioinformatic prediction;Microscopic observation,Sox2 maintains self renewal of tumor-initiating cells in osteosarcomas,In this report we show that the stem cell transcription factor SOX2 is highly expressed in human osteosarcoma (mOS) cell lines as well as in the tumor samples.,ATXN1,
21952072,POU5F1,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Immunohistochemistry;qRT-PCR;Flow cytometry;Weston blot;Gene knock down;Immunofluorescent staining;qPCR;ChIP-seq;Microscopic observation,Generation of tumor-initiating cells by exogenousdelivery of OCT4 transcription factor,OCT4 transcription factor (TF) in primary breast cell preparations.,CDKN2A,CL_0000034
21975049,HNF1A,TF,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Weston blot;Immunofluorescent staining;qRT-PCR,HNF1a inhibition triggers epithelial-mesenchymal transition in human liver cancer cell lines,"HNF1A is an atypical homeodomain-containing transcription factor that transactivates liver-specific genes including albumin, a-1-antitrypsin and a- and b-fibrinogen",ALBUMINFAMILY;TGFB1,CL_0001064
21986963,TP63,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;RT-qPCR;RT-PCR;Microscopic observation,"DeltaN TP63 reactivation, epithelial phenotype maintenance,and survival in lung squamous cell carcinoma","The transcrip-tion factor TP63, is crucial for pulmonary epithelialdevelopment and a possible target of the recurrent 3qamplifications in lung squamous cell carcinoma (SCC).",TWIST1;CDH1;VIM;SNAI1;CDH2,CL_0001064
21996743,BHLHE40,TF,Melanoma cell,Cancer cell,Skin,low-throughput + high-throughput,Flow cytometry;qPCR;Weston blot;Immunohistological staining;ChIP;Microscopic observation,Hypoxia and MITF control metastatic behaviour in mouse and human melanoma cells,"BHLHE40, a new factor in melanoma biology, as the mediator of hypoxia/HIF1a inhibitory effect on MITF expression. Our results reveal a hypoxia–HIF1a– BHLHB2–MITF cascade controlling the phenotypic plasticity in melanoma cells and favouring metastasis development. Targeting this pathway might be helpful in the design of new anti-melanoma therapies.",MITF,
22006557,MAP2K7,TF,Acute lymphoblastic leukemia cell,Cancer cell,Bone marrow,low-throughput,Flow cytometry;RT-qPCR;Weston blot;Gene knock down;PCR,Involvement of Mitogen-Activated Protein Kinase in Signal Transducer and Activator of Transcription-1 Mediated Differentiation Induced by Bortezomib in Acute Myeloid Leukemia Cells,"BTZ activates the MEK/ERK cascade, which further up-regulates the expression and activity of the key myeloid transcription factor STAT1, thus promoting myeloid differentiation. ",STAT1,
22012259,MITF,TF,Skin carcinoma cell,Cancer cell,Skin,low-throughput + high-throughput,Immunohistochemistry;Weston blot;Immunofluorescent staining;MITF gene seq,A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,"The microphthalmia-associated transcription factor (MITF) has been proposed to act as a melanoma oncogene4; it also stimulates the transcription of hypoxia inducible factor5 (HIF1A),the pathway of which is targeted by kidney cancer susceptibility genes6.",HIF1A,CL_0001064
22028892,SNAI1,TF,Stem cell,Cancer cell,Breast,low-throughput,PCR;Weston blot,The Transcription Factors Snail and Slug Activate the Transforming Growth Factor-Beta Signaling Pathway in Breast Cancer,"The transcriptional repressors SNAI1 is situated at the core of several signaling pathways proposed to mediate epithelial to mesenchymal transition or EMT, which has been implicated in tumor metastasis.",TGFBR2,CL_0000034
22028892,SNAI2,TF,Stem cell,Cancer cell,Breast,low-throughput,PCR;Weston blot,The Transcription Factors Snail and Slug Activate the Transforming Growth Factor-Beta Signaling Pathway in Breast Cancer,"The transcriptional repressors SNAI2 is situated at the core of several signaling pathways proposed to mediate epithelial to mesenchymal transition or EMT, which has been implicated in tumor metastasis.",TGFBR2,CL_0000034
22037460,POU5F1,TF,Colon carcinoma cell,Cancer cell,Colon,low-throughput,PCR;Weston blot;Immunofluorescent staining,Oct4-related cytokine effects regulate tumorigenic properties of colorectal cancer cells,"POU5F1, a member of the POU-domain transcription factor family, has been implicated in the cancer stem cell (CSC)-like properties of various cancers.",IL32;CXCL8,CL_0001064
22067483,IRF1,TF,Stem cell,Cancer cell,Uterus,low-throughput,qRT-PCR;sRT-PCR;Western blot,The ubiquitin hydrolase USP22 contributes to 3-end processing of JAK-STAT-inducible genes,"Here, we report that RNAi-mediated knockdown of the ubiquitin hydrolase,USP22, results in 2-fold higher ubH2B, and 2-fold lower transcriptional elongation at IRF1.",USP22,CL_0000034
22067483,SOAT1,TF,Stem cell,Cancer cell,Uterus,low-throughput,qRT-PCR;sRT-PCR;Western blot,The ubiquitin hydrolase USP22 contributes to 3-end processing of JAK-STAT-inducible genes,"The JAK-STAT (Janus kinase-signal transducer and activator of transcription) signaling pathway drives cellular growth, differentiation, and the immune response. ",USP22,CL_0000034
22080479,FLI1,TF,Ewing Tumor cell,Cancer cell,Bone,low-throughput,qRT-PCR;Western blot;Immunohistochemistry;Flow cytometry;Gene knock down;Microscopic observation,STEAP1 Is Associated with the Invasive and Oxidative Stress Phenotype of Ewing Tumors,"Using comprehensive microarray analyses and RNA interference, we identified the six-transmembrane epithelial antigen of the prostate 1 (STEAP1)—a membrane-bound mesenchymal stem cell marker of unknown function—as a highly expressed protein in Ewing tumors compared with benign tissues and show its regulation by EWS/FLI1.",STEAP1,
22084397,SOX4,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;Bioinformatic prediction;Microscopic observation;RT-qPCR;Immunohistochemistry;Immunofluorescent staining,Novel Transcriptional Targets of the SRY-HMG BoxTranscription Factor SOX4 Link Its Expression to the Development of Small Cell Lung Cancer,"The HMG box transcription factor SOX4 involved in neuronal development is amplified and overexpressed in asubset of lung cancers, suggesting that it may be a driver oncogene.",MYB;TEAD2;RBP1,CL_0001064
22102859,MAZ,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Microscopic observation;Survival analysis;RT-PCR,MiR-34a Expression Has an Effect for Lower Risk of Metastasis and Associates with Expression Patterns Predicting Clinical Outcome in Breast Cancer,"MAZ and p53 transcription factors co-operate in modulating miR-34a, as well as miR-34a targets involved in several cellular pathways.",MIR34A,CL_0000034
22102859,TP53,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Microscopic observation;Survival analysis;RT-PCR,MiR-34a Expression Has an Effect for Lower Risk of Metastasis and Associates with Expression Patterns Predicting Clinical Outcome in Breast Cancer,"MAZ and p53 transcription factors co-operate in modulating miR-34a, as well as miR-34a targets involved in several cellular pathways.",MIR34A,CL_0000034
22115706,GLI1,TF,Lung cancer cell,Cancer cell,Lung,low-throughput,Microscopic observation;Immunohistochemistry;qRT-PCR,Hedgehog signaling pathway molecules and ALDH1A1 expression in early-stage non-small cell lung cancer,"There were significant correlations ofIHC expressionbetweenSHH and downstreamHHSP receptor SMO (p = 0.017) andtranscriptionfactor GLI1 (p = 0.001), while SMO correlated with GLI1 (p = 0.007).",ALDH1A1;SMO;SHH,
